vin,year,model,color,miles,trim,price,interior,features,country,currency,availability,sold_date
5YJYGAEEXMF159365,2021,my,SILVER,16901,Model Y Long Range Dual Motor All-Wheel Drive,77600,PREMIUM_BLACK,Midnight Silver Metallic Paint;20’’ Induction Wheels;All Black Premium Interior;Full Self-Driving Capability;Seven Seat Interior;Tow Hitch;Acceleration Boost;,US,USD,available,8/31/2022
5YJXCAE24LF264706,2020,mx,BLUE,24778,Model X Long Range Plus All-Wheel Drive,111200,WHITE,"Deep Blue Metallic;20"" Silver Wheels;Black and White Premium Interior with Dark Ash Wood Décor;Full Self-Driving Capability;Seven Seat Interior;Infotainment Upgrade;",US,USD,sold,8/31/2022
5YJSA1E25KF331229,2019,ms,WHITE,35989,Model S Long Range All-Wheel Drive,77100,WHITE,"Pearl White Multi-Coat;21"" Sonic Carbon Twin Turbine Wheels;Black and White Premium Interior with Dark Ash Wood Décor;Full Self-Driving Capability;Glass Roof;Infotainment Upgrade;",US,USD,available,8/31/2022
5YJXCAE21KF197562,2019,mx,WHITE,60508,Model X Long Range All-Wheel Drive,91000,CREAM,"Pearl White Multi-Coat;20"" Silver Wheels;Cream Premium Interior with Oak Wood Décor;Full Self-Driving Capability;Seven Seat Interior;Infotainment Upgrade;",US,USD,sold,8/31/2022
5YJXCAE23JF138317,2018,mx,GREY,42565,100D Long Range All-Wheel Drive,88400,BLACK,"Midnight Silver Metallic Paint;20"" Sonic Carbon Wheels;All Black Premium Interior;Full Self-Driving Capability;Smart Air Suspension;Ultra High Fidelity Sound;HEPA Air Filtration System;Subzero Weather Package;Towing Package;Keyless Entry;Power Liftgate;Seven Seat Interior;Figured Ash Wood Décor;Dark Headliner;Infotainment Upgrade;",US,USD,available,8/31/2022
5YJ3E1EBXKF451665,2019,m3,BLACK,10879,Model 3 Long Range All-Wheel Drive,58800,PREMIUM_BLACK,Solid Black Paint;18’’ Aero Wheels;All Black Premium Interior;Full Self-Driving Capability;Acceleration Boost;Front and Rear Heated Seats;,US,USD,sold,8/31/2022
5YJXCDE20KF188420,2019,mx,BLACK,45004,Model X Long Range All-Wheel Drive,86300,WHITE,"Solid Black;20"" Silver Wheels;Black and White Premium Interior with Dark Ash Wood Décor;Full Self-Driving Capability;Five Seat Interior;Infotainment Upgrade;",US,USD,available,8/31/2022
5YJ3E1EA4KF394841,2019,m3,BLACK,31991,Model 3 Standard Range Plus Rear-Wheel Drive,44300,PREMIUM_BLACK,Solid Black Paint;18’’ Aero Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/31/2022
5YJ3E1EB4KF393181,2019,m3,WHITE,17252,Model 3 Long Range All-Wheel Drive Performance,59400,PREMIUM_BLACK,Pearl White Paint;20’’ Performance Wheels;All Black Premium Interior;Full Self-Driving Capability;Performance Upgrade;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;Front and Rear Heated Seats;,US,USD,available,8/31/2022
5YJSA1E25KF306718,2019,ms,GREY,27135,100D Long Range All-Wheel Drive,86700,BLACK,"Midnight Silver Metallic Paint;21"" Sonic Carbon Twin Turbine Wheels;All Black Premium Interior;Full Self-Driving Capability;Smart Air Suspension;Glass Roof;Ultra High Fidelity Sound;HEPA Air Filtration System;Subzero Weather Package;Keyless Entry;Power Liftgate;GPS Enabled Homelink;Figured Ash Wood Décor;Dark Headliner;Infotainment Upgrade;",US,USD,sold,8/31/2022
5YJ3E1EA0KF486755,2019,m3,RED,5352,Model 3 Standard Range Plus Rear-Wheel Drive,53600,PREMIUM_WHITE,Red Multi-Coat Paint;19’’ Sport Wheels;Black and White Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/31/2022
5YJSA1E26LF355945,2020,ms,GREY,30553,Model S Long Range All-Wheel Drive,81200,BLACK,"Midnight Silver Metallic;21"" Sonic Carbon Twin Turbine Wheels;All Black Premium Interior with Figured Ash Wood Décor;Full Self-Driving Capability;Glass Roof;Infotainment Upgrade;",US,USD,sold,8/31/2022
5YJ3E1EA1KF432106,2019,m3,BLUE,25014,Model 3 Standard Range Plus Rear-Wheel Drive,48900,PREMIUM_WHITE,Deep Blue Metallic Paint;19’’ Sport Wheels;Black and White Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/31/2022
5YJ3E1EB2LF651246,2020,m3,WHITE,27840,Model 3 Long Range All-Wheel Drive,55500,PREMIUM_BLACK,Pearl White Paint;19’’ Sport Wheels;All Black Premium Interior;Enhanced Autopilot;Acceleration Boost;Front and Rear Heated Seats;,US,USD,sold,8/31/2022
5YJ3E1EA8LF659570,2020,m3,WHITE,4235,Model 3 Standard Range Plus Rear-Wheel Drive,48700,PREMIUM_BLACK,Pearl White Paint;18’’ Aero Wheels;All Black Partial Premium Interior;Enhanced Autopilot;Front and Rear Heated Seats;,US,USD,available,8/31/2022
5YJ3E1EA1KF402751,2019,m3,GRAY,38982,Model 3 Standard Range Plus Rear-Wheel Drive,46500,PREMIUM_WHITE,Midnight Silver Metallic Paint;18’’ Aero Wheels;Black and White Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/31/2022
5YJSA1E49LF379240,2020,ms,BLUE,9349,Model S Performance All-Wheel Drive,97400,CREAM,"Deep Blue Metallic;21"" Sonic Carbon Twin Turbine Wheels;Cream Premium Interior with Oak Wood Décor;Full Self-Driving Capability;Ludicrous Mode;Glass Roof;Infotainment Upgrade;",US,USD,available,8/31/2022
5YJSA1E26HF216129,2017,ms,SILVER,83927,75D All-Wheel Drive,56300,BLACK_TEXTILE,"Silver Metallic Paint;19"" Silver Slipstream Wheels;Black Textile Interior;Full Self-Driving Capability;Smart Air Suspension;Glass Roof;Keyless Entry;Power Liftgate;GPS Enabled Homelink;Dark Ash Wood Décor;Dark Headliner;",US,USD,sold,8/31/2022
5YJSA1E46LF355283,2020,ms,GREY,38822,Model S Performance All-Wheel Drive,90400,WHITE,"Midnight Silver Metallic;19"" Sonic Carbon Slipstream Wheels;Black and White Premium Interior with Carbon Fiber Décor;Full Self-Driving Capability;Ludicrous Mode;Glass Roof;Infotainment Upgrade;",US,USD,available,8/31/2022
5YJXCDE22KF185194,2019,mx,WHITE,31976,Model X Long Range All-Wheel Drive,94700,WHITE,"Pearl White Multi-Coat;22"" Onyx Black Wheels;Black and White Premium Interior with Dark Ash Wood Décor;Full Self-Driving Capability;Six Seat Interior;Infotainment Upgrade;",US,USD,sold,8/31/2022
5YJSA1E27JF243667,2018,ms,RED,26516,100D Long Range All-Wheel Drive,74700,BLACK,"Red Multi-Coat Paint;19"" Silver Slipstream Wheels;Black Premium Interior;Enhanced Autopilot;Smart Air Suspension;Sunroof;Ultra High Fidelity Sound;HEPA Air Filtration System;Subzero Weather Package;Keyless Entry;Power Liftgate;GPS Enabled Homelink;Figured Ash Wood Décor;Dark Headliner;Infotainment Upgrade;",US,USD,available,8/31/2022
5YJ3E1EB6KF407338,2019,m3,WHITE,31663,Model 3 Long Range All-Wheel Drive Performance,59300,PREMIUM_WHITE,Pearl White Paint;20’’ Performance Wheels;Black and White Premium Interior;Full Self-Driving Capability;Performance Upgrade;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;Front and Rear Heated Seats;,US,USD,sold,8/31/2022
5YJ3E1EB6MF065246,2021,m3,BLUE,7979,Model 3 Long Range All-Wheel Drive,68600,PREMIUM_BLACK,Deep Blue Metallic Paint;19’’ Sport Wheels;All Black Premium Interior;Full Self-Driving Capability;Acceleration Boost;Front and Rear Heated Seats;,US,USD,available,8/31/2022
5YJ3E1EA5MF854365,2021,m3,BLACK,17895,Model 3 Standard Range Plus Rear-Wheel Drive,52600,PREMIUM_WHITE,Solid Black Paint;18’’ Aero Wheels;Black and White Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/31/2022
5YJ3E1EA4KF395164,2019,m3,BLACK,29576,Model 3 Standard Range Plus Rear-Wheel Drive,45600,PREMIUM_BLACK,Solid Black Paint;18’’ Aero Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/31/2022
5YJSA1E64MF447639,2021,ms,BLACK,9055,Model S Plaid,118900,CREAM,"Solid Black;21"" Arachnid Wheels;Cream Interior with Carbon Fiber Decor;Full Self-Driving Capability;Infotainment Upgrade;",US,USD,sold,8/31/2022
5YJSA1E47LF355700,2020,ms,BLACK,42659,Model S Performance All-Wheel Drive,83100,WHITE,"Solid Black;21"" Sonic Carbon Twin Turbine Wheels;Black and White Premium Interior with Carbon Fiber Décor;Full Self-Driving Capability;Ludicrous Mode;Glass Roof;Infotainment Upgrade;",US,USD,available,8/31/2022
5YJXCBE24KF188778,2019,mx,WHITE,18539,Model X Long Range All-Wheel Drive,98000,BLACK,"Pearl White Multi-Coat;22"" Onyx Black Wheels;All Black Premium Interior with Figured Ash Wood Décor;Full Self-Driving Capability;Six Seat Interior;Infotainment Upgrade;",US,USD,sold,8/31/2022
5YJSA1E22KF306367,2019,ms,BLACK,30493,100D Long Range All-Wheel Drive,73900,BLACK,"Solid Black Paint;19"" Silver Slipstream Wheels;All Black Premium Interior;Full Self-Driving Capability;Smart Air Suspension;Glass Roof;Ultra High Fidelity Sound;HEPA Air Filtration System;Subzero Weather Package;Keyless Entry;Power Liftgate;GPS Enabled Homelink;Figured Ash Wood Décor;Dark Headliner;Infotainment Upgrade;",US,USD,available,8/31/2022
5YJ3E1EC3NF110461,2022,m3,BLUE,7236,Model 3 Performance Dual Motor All-Wheel Drive,70300,PREMIUM_BLACK,Deep Blue Metallic Paint;20’’ Überturbine Wheels;All Black Premium Interior;Full Self-Driving Capability;Performance Upgrade;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;Front and Rear Heated Seats;,US,USD,sold,8/31/2022
5YJ3E1EB0KF413751,2019,m3,RED,17429,Model 3 Long Range All-Wheel Drive Performance,60700,PREMIUM_WHITE,Red Multi-Coat Paint;20’’ Performance Wheels;Black and White Premium Interior;Full Self-Driving Capability;Performance Upgrade;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;Front and Rear Heated Seats;,US,USD,available,8/31/2022
5YJ3E1EA6KF464307,2019,m3,BLUE,27022,Model 3 Standard Range Plus Rear-Wheel Drive,45600,PREMIUM_BLACK,Deep Blue Metallic Paint;18’’ Aero Wheels;All Black Partial Premium Interior;Enhanced Autopilot;Front and Rear Heated Seats;,US,USD,sold,8/31/2022
5YJXCBE22HF053601,2017,mx,BLACK,38492,90D All-Wheel Drive,75400,WHITE,"Solid Black Paint;20"" Silver Wheels;White Premium Interior;Full Self-Driving Capability;Smart Air Suspension;Ultra High Fidelity Sound;HEPA Air Filtration System;Keyless Entry;Power Liftgate;Six Seat Interior;Dark Ash Wood Décor;Black Headliner;",US,USD,available,8/31/2022
5YJYGDEF6LF022206,2020,my,SILVER,13575,Model Y Long Range All-Wheel Drive Performance,74200,PREMIUM_BLACK,Midnight Silver Metallic Paint;21’’ Überturbine Wheels;All Black Premium Interior;Full Self-Driving Capability;Performance Upgrade;Five Seat Interior;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;,US,USD,sold,8/31/2022
5YJ3E1EB4KF368118,2019,m3,WHITE,45066,Model 3 Long Range All-Wheel Drive Performance,55200,PREMIUM_WHITE,Pearl White Paint;20’’ Performance Wheels;Black and White Premium Interior;Full Self-Driving Capability;Performance Upgrade;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;Front and Rear Heated Seats;,US,USD,available,8/31/2022
5YJYGDED7MF103604,2021,my,WHITE,25102,Model Y Standard Range Rear-Wheel Drive,59000,PREMIUM_BLACK,Pearl White Paint;19’’ Gemini Wheels;All Black Premium Interior;Full Self-Driving Capability;Five Seat Interior;,US,USD,sold,8/31/2022
5YJSA1E66NF474570,2022,ms,WHITE,3013,Model S Plaid,138000,WHITE,"Pearl White Multi-Coat;19"" Tempest Wheels;Black and White Premium Interior with Carbon Fiber Décor;Full Self-Driving Capability;Infotainment Upgrade;",US,USD,available,8/31/2022
5YJ3E1EB4KF388370,2019,m3,WHITE,13423,Model 3 Long Range All-Wheel Drive,60000,PREMIUM_BLACK,Pearl White Paint;18’’ Aero Wheels;All Black Premium Interior;Full Self-Driving Capability;Acceleration Boost;Front and Rear Heated Seats;,US,USD,sold,8/31/2022
5YJXCBE29KF152147,2019,mx,RED,20341,100D Long Range All-Wheel Drive,92000,WHITE,"Red Multi-Coat Paint;20"" Silver Wheels;Black and White Premium Interior;Full Self-Driving Capability;Smart Air Suspension;Ultra High Fidelity Sound;HEPA Air Filtration System;Subzero Weather Package;Towing Package;Keyless Entry;Power Liftgate;Six Seat Interior;Dark Ash Wood Décor;Dark Headliner;Infotainment Upgrade;",US,USD,available,8/31/2022
5YJ3E1EA7KF410269,2019,m3,BLACK,41112,Model 3 Standard Range Plus Rear-Wheel Drive,46100,PREMIUM_BLACK,Solid Black Paint;18’’ Aero Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/31/2022
5YJXCBE46KF180845,2019,mx,WHITE,55922,Model X Performance All-Wheel Drive,91000,WHITE,"Pearl White Multi-Coat;22"" Onyx Black Wheels;Black and White Premium Interior with Dark Ash Wood Décor;Full Self-Driving Capability;Ludicrous Mode;Six Seat Interior;Infotainment Upgrade;",US,USD,available,8/31/2022
5YJXCBE20JF136434,2018,mx,GREY,31032,75D All-Wheel Drive,83400,BLACK,"Midnight Silver Metallic Paint;20"" Sonic Carbon Wheels;All Black Premium Interior;Full Self-Driving Capability;Smart Air Suspension;Ultra High Fidelity Sound;HEPA Air Filtration System;Subzero Weather Package;Towing Package;Keyless Entry;Power Liftgate;Six Seat Interior;Carbon Fiber Décor;Dark Headliner;Infotainment Upgrade;",US,USD,sold,8/31/2022
5YJ3E1EA9KF306267,2019,m3,BLACK,14467,Model 3 Standard Range Plus Rear-Wheel Drive,45600,PREMIUM_BLACK,Solid Black Paint;18’’ Aero Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/31/2022
5YJ3E1EA9KF412380,2019,m3,BLACK,15438,Model 3 Standard Range Plus Rear-Wheel Drive,45300,PREMIUM_BLACK,Solid Black Paint;19’’ Sport Wheels;All Black Partial Premium Interior;Enhanced Autopilot;Front and Rear Heated Seats;,US,USD,sold,8/31/2022
5YJYGDEF0MF269318,2021,my,BLUE,6502,Model Y Performance Dual Motor All-Wheel Drive,78700,PREMIUM_BLACK,Deep Blue Metallic Paint;21’’ Überturbine Wheels;All Black Premium Interior;Full Self-Driving Capability;Performance Upgrade;Five Seat Interior;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;,US,USD,available,8/31/2022
5YJ3E1EA3KF424797,2019,m3,WHITE,35029,Model 3 Standard Range Plus Rear-Wheel Drive,45100,PREMIUM_BLACK,Pearl White Paint;18’’ Aero Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/31/2022
5YJXCDE2XKF184617,2019,mx,GREY,31798,Model X Long Range All-Wheel Drive,87700,CREAM,"Midnight Silver Metallic;20"" Silver Wheels;Cream Premium Interior with Oak Wood Décor;Full Self-Driving Capability;Five Seat Interior;Infotainment Upgrade;",US,USD,available,8/31/2022
5YJYGDEE7MF198206,2021,my,WHITE,4398,Model Y Long Range Dual Motor All-Wheel Drive,77500,PREMIUM_BLACK,Pearl White Paint;19’’ Gemini Wheels;All Black Premium Interior;Full Self-Driving Capability;Five Seat Interior;Acceleration Boost;,US,USD,sold,8/31/2022
5YJ3E1EA8KF312948,2019,m3,BLUE,27529,Model 3 Standard Range Plus Rear-Wheel Drive,47000,PREMIUM_WHITE,Deep Blue Metallic Paint;19’’ Sport Wheels;Black and White Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/31/2022
5YJYGDEE3MF141159,2021,my,WHITE,23389,Model Y Long Range All-Wheel Drive,69400,PREMIUM_BLACK,Pearl White Paint;20’’ Induction Wheels;All Black Premium Interior;Enhanced Autopilot;Five Seat Interior;Acceleration Boost;,US,USD,sold,8/31/2022
5YJ3E1EA7KF317865,2019,m3,BLACK,55704,Model 3 Standard Range Plus Rear-Wheel Drive,46900,PREMIUM_WHITE,Solid Black Paint;18’’ Aero Wheels;Black and White Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/31/2022
5YJSA1E59MF434358,2021,ms,GREY,8354,Model S Long Range,109700,WHITE,"Midnight Silver Metallic;21"" Arachnid Wheels;Black and White Premium Interior with Walnut Décor;Full Self-Driving Capability;Infotainment Upgrade;",US,USD,sold,8/31/2022
5YJ3E1EC9LF603428,2020,m3,RED,18387,Model 3 Long Range All-Wheel Drive Performance,63700,PREMIUM_WHITE,Red Multi-Coat Paint;20’’ Gray Performance Wheels;Black and White Premium Interior;Full Self-Driving Capability;Performance Upgrade;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;Front and Rear Heated Seats;,US,USD,available,8/31/2022
5YJXCBE24HF065281,2017,mx,WHITE,13499,100D Long Range All-Wheel Drive,88800,CREAM,"Pearl White Multi-Coat Paint;20"" Silver Wheels;Cream Premium Interior;Full Self-Driving Capability;Smart Air Suspension;Ultra High Fidelity Sound;HEPA Air Filtration System;Subzero Weather Package;Towing Package;Keyless Entry;Power Liftgate;Six Seat Interior;Figured Ash Wood Décor;Light Headliner;Infotainment Upgrade;",US,USD,sold,8/31/2022
5YJ3E1EB5JF090814,2018,m3,GRAY,54447,Model 3 Long Range All-Wheel Drive,55200,PREMIUM_BLACK,Midnight Silver Metallic Paint;19’’ Sport Wheels;All Black Premium Interior;Full Self-Driving Capability;Acceleration Boost;Front and Rear Heated Seats;,US,USD,available,8/31/2022
5YJ3E1EC7MF997058,2021,m3,BLACK,16199,Model 3 Performance Dual Motor All-Wheel Drive,68400,PREMIUM_BLACK,Solid Black Paint;20’’ Überturbine Wheels;All Black Premium Interior;Full Self-Driving Capability;Performance Upgrade;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;Front and Rear Heated Seats;,US,USD,sold,8/31/2022
5YJSA1E23JF258389,2018,ms,GREY,30082,100D Long Range All-Wheel Drive,71900,BLACK,"Midnight Silver Metallic Paint;19"" Silver Slipstream Wheels;Black Premium Interior;Full Self-Driving Capability;Smart Air Suspension;Sunroof;Ultra High Fidelity Sound;HEPA Air Filtration System;Subzero Weather Package;Keyless Entry;Power Liftgate;GPS Enabled Homelink;Figured Ash Wood Décor;Dark Headliner;Infotainment Upgrade;",US,USD,available,8/31/2022
5YJ3E1EAXKF352741,2019,m3,BLACK,17904,Model 3 Standard Range Plus Rear-Wheel Drive,44200,PREMIUM_BLACK,Solid Black Paint;19’’ Sport Wheels;All Black Partial Premium Interior;Enhanced Autopilot;Front and Rear Heated Seats;,US,USD,sold,8/31/2022
5YJ3E1EA0KF421081,2019,m3,BLACK,45030,Model 3 Standard Range Plus Rear-Wheel Drive,44600,PREMIUM_BLACK,Solid Black Paint;18’’ Aero Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/31/2022
5YJ3E1EB1KF517634,2019,m3,GRAY,26461,Model 3 Long Range All-Wheel Drive,57600,PREMIUM_WHITE,Midnight Silver Metallic Paint;18’’ Aero Wheels;Black and White Premium Interior;Full Self-Driving Capability;Acceleration Boost;Front and Rear Heated Seats;,US,USD,sold,8/31/2022
5YJ3E1EA2KF327686,2019,m3,GRAY,30457,Model 3 Long Range Rear-Wheel Drive,57800,PREMIUM_WHITE,Midnight Silver Metallic Paint;18’’ Aero Wheels;Black and White Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/31/2022
5YJXCAE26KF160717,2019,mx,WHITE,50214,Model X Long Range All-Wheel Drive,91000,WHITE,"Pearl White Multi-Coat;20"" Silver Wheels;Black and White Premium Interior with Dark Ash Wood Décor;Enhanced Autopilot;Seven Seat Interior;Infotainment Upgrade;",US,USD,sold,8/31/2022
5YJXCBE47LF241038,2020,mx,GREY,11810,Model X Performance All-Wheel Drive,111600,WHITE,"Midnight Silver Metallic;22"" Onyx Black Wheels;Black and White Premium Interior with Dark Ash Wood Décor;Full Self-Driving Capability;Ludicrous Mode;Six Seat Interior;Infotainment Upgrade;",US,USD,available,8/31/2022
5YJYGDEE9LF006296,2020,my,BLUE,19357,Model Y Long Range All-Wheel Drive,68800,PREMIUM_BLACK,Deep Blue Metallic Paint;19’’ Gemini Wheels;All Black Premium Interior;Full Self-Driving Capability;Five Seat Interior;Acceleration Boost;,US,USD,sold,8/30/2022
5YJ3E1EB4KF469174,2019,m3,WHITE,13238,Model 3 Long Range All-Wheel Drive,58800,PREMIUM_BLACK,Pearl White Paint;18’’ Aero Wheels;All Black Premium Interior;Full Self-Driving Capability;Acceleration Boost;Front and Rear Heated Seats;,US,USD,available,8/30/2022
5YJYGAEEXMF183570,2021,my,SILVER,7406,Model Y Long Range Dual Motor All-Wheel Drive,80100,PREMIUM_WHITE,Midnight Silver Metallic Paint;20’’ Induction Wheels;Black and White Premium Interior;Full Self-Driving Capability;Seven Seat Interior;Tow Hitch;Acceleration Boost;,US,USD,sold,8/30/2022
5YJ3E1EB5JF065041,2018,m3,SILVER,24771,Model 3 Long Range All-Wheel Drive,53500,PREMIUM_BLACK,Silver Metallic Paint;18’’ Aero Wheels;All Black Premium Interior;Full Self-Driving Capability;Acceleration Boost;Front and Rear Heated Seats;,US,USD,available,8/30/2022
7SAYGDEF6NF376846,2022,my,WHITE,7898,Model Y Performance Dual Motor All-Wheel Drive,78900,PREMIUM_BLACK,Pearl White Paint;21’’ Überturbine Wheels;All Black Premium Interior;Full Self-Driving Capability;Performance Upgrade;Five Seat Interior;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;,US,USD,sold,8/30/2022
5YJ3E1EAXLF659988,2020,m3,WHITE,27167,Model 3 Standard Range Plus Rear-Wheel Drive,47900,PREMIUM_BLACK,Pearl White Paint;18’’ Aero Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/30/2022
5YJXCAE21KF160799,2019,mx,GREY,9710,100D Long Range All-Wheel Drive,100600,BLACK,"Midnight Silver Metallic Paint;20"" Silver Wheels;All Black Premium Interior;Full Self-Driving Capability;Suspension Update;Ultra High Fidelity Sound;HEPA Air Filtration System;Subzero Weather Package;Towing Package;Keyless Entry;Power Liftgate;Seven Seat Interior;Figured Ash Wood Décor;Dark Headliner;Infotainment Upgrade;",US,USD,sold,8/30/2022
5YJ3E1EA6KF423126,2019,m3,WHITE,49594,Model 3 Standard Range Plus Rear-Wheel Drive,47200,PREMIUM_WHITE,Pearl White Paint;18’’ Aero Wheels;Black and White Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/30/2022
5YJXCBE23LF210478,2020,mx,WHITE,42459,Model X Long Range All-Wheel Drive,86600,BLACK,"Pearl White Multi-Coat;22"" Onyx Black Wheels;All Black Premium Interior with Figured Ash Wood Décor;Enhanced Autopilot;Six Seat Interior;Infotainment Upgrade;",US,USD,sold,8/30/2022
5YJSA1E45HF235143,2017,ms,GREY,37701,100D Ludicrous Performance All-Wheel Drive,74800,BLACK,"Midnight Silver Metallic Paint;21"" Grey Turbine Wheels;Black Premium Interior;Full Self-Driving Capability;Smart Air Suspension;Sunroof;Ultra High Fidelity Sound;HEPA Air Filtration System;Subzero Weather Package;Keyless Entry;Power Liftgate;Red Brake Calipers;GPS Enabled Homelink;Figured Ash Wood Décor;Dark Headliner;Infotainment Upgrade;",US,USD,available,8/30/2022
5YJYGDEF1LF028141,2020,my,BLACK,15715,Model Y Long Range All-Wheel Drive Performance,74200,PREMIUM_WHITE,Solid Black Paint;21’’ Überturbine Wheels;Black and White Premium Interior;Full Self-Driving Capability;Performance Upgrade;Five Seat Interior;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;,US,USD,sold,8/30/2022
5YJ3E1EB7KF390193,2019,m3,WHITE,13184,Model 3 Long Range All-Wheel Drive,57900,PREMIUM_BLACK,Pearl White Paint;19’’ Sport Wheels;All Black Premium Interior;Full Self-Driving Capability;Acceleration Boost;Front and Rear Heated Seats;,US,USD,available,8/30/2022
7SAYGDEE9NF315210,2022,my,WHITE,19439,Model Y Long Range Dual Motor All-Wheel Drive,74100,PREMIUM_WHITE,Pearl White Paint;19’’ Gemini Wheels;Black and White Premium Interior;Full Self-Driving Capability;Five Seat Interior;Acceleration Boost;,US,USD,sold,8/30/2022
